	2	2	1	2	3	3	3	2	2	2	2	2	2	2	
	2	2	1	2	3	3	3	2	3	2	2	2	2	2	
	1	1	1	1	2	2	3	1	1	2	2	2	2	2	
	1	1	1	1	2	2	2	2	1	1	1	2	2	2
	1	1	1	1	2	3	2	1	1	1	1	1	2	2
	1	1	1	1	3	2	1	1	2	1	1	1	2	2
	2	1	1	2	2	3	2	1	1	1	1	1	1	3
	1	1	2	3	2	3	1	1	2	1	1	1	2	2
	1	1	1	3	2	2	1	1	1	1	1	1	2	3
	1	1	3	2	2	1	1	1	1	2	1	2	3	3
	1	1	3	2	3	1	2	1	1	1	1	1	2	2
	2	2	2	2	1	1	1	1	1	1	1	2	2	2
	2	1	3	1	2	1	2	1	1	1	1	1	3	3
	2	1	2	1	1	2	1	2	1	1	1	1	1	3
	2	3	1	2	1	1	2	1	2	1	2	2	2	2
	2	2	1	1	1	1	1	1	1	1	2	2	2	2
	2	2	2	2	1	1	1	2	1	2	1	2	2	2
	2	2	2	2	2	1	2	2	3	2	3	2	2	3
	2	2	2	2	1	1	1	2	1	3	2	2	3	3
	2	2	2	2	2	2	2	2	2	2	3	2	3	2
*
	4	4	3	3	3	3	2	1	1	1	2	2	2	2
	4	4	4	3	3	2	2	1	1	1	1	2	1	2
	4	4	4	4	3	1	2	1	1	1	1	1	1	1
	4	4	4	5	4	1	2	1	1	1	1	1	1	1
	3	3	4	4	4	2	1	1	1	1	2	1	1	1
	1	2	4	5	5	1	1	1	1	1	2	2	1	1
	1	2	1	5	2	1	1	1	1	1	1	1	1	1
	1	1	1	1	1	1	2	1	1	1	1	1	1	1
	1	1	1	1	1	1	2	2	1	1	1	1	1	2
	1	1	2	1	1	1	2	3	1	2	1	1	1	2
	1	1	1	1	2	1	2	2	3	2	1	1	1	1
	1	1	1	1	1	1	1	1	2	1	1	1	1	1
	1	1	2	1	1	1	1	1	1	1	1	1	2	2
	1	1	1	1	1	1	1	1	1	1	1	1	1	2
	1	1	1	1	1	1	1	1	1	1	1	1	1	1
	1	1	1	1	1	1	1	1	1	1	1	1	1	1
	1	1	1	1	1	1	1	1	1	2	1	1	1	1
	1	1	1	1	2	1	1	1	1	2	2	1	1	2
	2	1	1	1	1	1	1	1	1	2	1	1	1	1
	2	2	2	1	2	2	1	1	1	1	1	1	2	1
*
//	0	1	2	3	4	5	6	7	8	9	10	11	12	13
	0	0	0	0	0	0	0	0	-10	-10	-10	-10	-10	-10
	0	1	0	0	0	0	0	0	0	-10	-10	-10	-10	-10
	0	0	0	4	0	0	0	0	0	-10	-10	-10	-10	-10
	0	2	3	0	0	0	-10	0	0	51	0	-10	-10	-10
	0	0	0	0	0	0	-10	0	0	0	0	0	-10	-10
	0	0	0	0	0	-10	0	0	-10	0	0	0	-10	-10
	0	0	0	0	-10	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0	52	0	0	0
	0	0	0	0	-10	0	0	0	51	0	0	0	0	0
	0	0	0	-10	0	0	0	0	0	0	0	0	0	0
	0	0	0	-10	0	0	-10	0	0	0	0	0	0	0
	0	0	0	-10	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	51	0	0	0	0	0	0	0	0	0
	-10	0	0	0	0	0	52	0	0	0	0	0	0	0
	-10	0	0	-10	0	0	-10	0	0	0	51	51	0	0
	-10	-10	0	0	0	0	0	0	0	51	0	0	0	0
	-10	-10	-10	-10	0	0	0	0	0	0	0	0	53	0
	-10	-10	-10	-10	-10	0	0	0	0	0	53	0	0	0
	-10	-10	-10	-10	0	0	0	0	0	0	0	0	0	0
	-10	-10	-10	-10	-10	-10	0	0	0	0	0	0	0	0
*





// 右上0　右1　右下2　左下3　左4　左上5
	2	2	2	2	2	2	5	5	5	5	5	5	5	5
	2	2	2	2	2	2	5	5	5	5	5	5	5	5
	2	2	2	2	2	2	5	5	5	5	5	5	5	5
	2	2	2	2	2	2	5	5	5	5	5	5	5	5
	2	2	2	2	2	2	5	5	5	5	5	5	5	5
	2	2	2	2	2	5	5	5	5	5	5	5	5	5
	2	2	2	2	2	5	5	5	5	5	5	5	5	5
	2	2	2	2	2	5	5	5	5	5	5	5	5	5
	2	2	2	2	5	5	5	5	5	5	5	5	5	5
	5	5	5	5	5	5	5	5	5	5	5	5	5	5
	5	5	5	5	5	5	5	5	5	5	5	5	5	5
	5	5	5	5	5	5	5	5	5	5	5	5	5	5
	5	5	5	5	5	5	5	5	5	5	5	5	5	5
	5	5	5	5	5	5	5	5	5	5	5	5	5	5
	5	5	5	5	5	5	5	5	5	5	5	5	5	5
	5	5	5	5	5	5	5	5	5	5	5	5	5	5
	5	5	5	5	5	5	5	5	5	5	5	5	5	5
	5	5	5	5	5	5	5	5	5	5	5	5	5	5
	5	5	5	5	5	5	5	5	5	5	5	5	5	5
	5	5	5	5	5	5	5	5	5	5	5	5	5	5
*
	2
